"Target","Model","Version","Sensitivity","Specificity","F1_Score","Balanced_Accuracy","Matthews_Correlation"
"welloff_D","Random Forest","Base",0.00126742712294043,1,0.00253164556962025,0.50063371356147,0.0335397363337936
"helptch_D","Random Forest","Base",0,1,NA,0.5,0
"alrisk_D","Random Forest","Base",0,1,NA,0.5,0
"schdrg_D","Random Forest","Base",0.00530222693531283,1,0.0105485232067511,0.502651113467656,0.0677645400991949
"likeskl_D","Random Forest","Base",0,1,NA,0.5,0
"Truant1_D","Random Forest","Base",0,1,NA,0.5,0
"somatic_D","Random Forest","Base",0.0358455882352941,0.998479986488769,0.0686619718309859,0.517162787362031,0.15072085883834
"dadscore2_D","Random Forest","Base",0.34251497005988,0.98687834116313,0.475873544093178,0.664696655611505,0.479023015070743
"nothin2_D","Random Forest","Base",0,1,NA,0.5,0
"withfrev2_D","Random Forest","Base",0,1,NA,0.5,0
"welloff_D","Random Forest","Parameter tuned",0.00126742712294043,1,0.00253164556962025,0.50063371356147,0.0335397363337936
"helptch_D","Random Forest","Parameter tuned",0,1,NA,0.5,0
"alrisk_D","Random Forest","Parameter tuned",0.00749063670411985,0.999838891574029,0.0148514851485149,0.503664764139075,0.0738251089630688
"schdrg_D","Random Forest","Parameter tuned",0.0625662778366914,0.999505358615004,0.117412935323383,0.531035818225848,0.226204484197719
"likeskl_D","Random Forest","Parameter tuned",0,1,NA,0.5,0
"Truant1_D","Random Forest","Parameter tuned",0.00650054171180932,1,0.0129171151776103,0.503250270855905,0.075161253209722
"somatic_D","Random Forest","Parameter tuned",0.09375,0.99527106907617,0.167487684729064,0.544510534538085,0.238929873340671
"dadscore2_D","Random Forest","Parameter tuned",0.41437125748503,0.979426534910092,0.529051987767584,0.696898896197561,0.50852380402399
"nothin2_D","Random Forest","Parameter tuned",0,1,NA,0.5,0
"withfrev2_D","Random Forest","Parameter tuned",0,1,NA,0.5,0
"welloff_D","Random Forest","Parameter tuned + Class weights",0.00126742712294043,1,0.00253164556962025,0.50063371356147,0.0335397363337936
"helptch_D","Random Forest","Parameter tuned + Class weights",0,1,NA,0.5,0
"alrisk_D","Random Forest","Parameter tuned + Class weights",0,1,NA,0.5,0
"schdrg_D","Random Forest","Parameter tuned + Class weights",0.0307529162248144,0.999670239076669,0.0595482546201232,0.515211577650742,0.156444498329566
"likeskl_D","Random Forest","Parameter tuned + Class weights",0,1,NA,0.5,0
"Truant1_D","Random Forest","Parameter tuned + Class weights",0.00541711809317443,1,0.0107758620689655,0.502708559046587,0.0686076240856223
"somatic_D","Random Forest","Parameter tuned + Class weights",0.0808823529411765,0.995946630636717,0.146666666666667,0.538414491788947,0.221869672108133
"dadscore2_D","Random Forest","Parameter tuned + Class weights",0.397604790419162,0.982504454884173,0.52078431372549,0.690054622651667,0.507641243060737
"nothin2_D","Random Forest","Parameter tuned + Class weights",0,1,NA,0.5,0
"withfrev2_D","Random Forest","Parameter tuned + Class weights",0,1,NA,0.5,0
"welloff_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.0215462610899873,0.996784565916399,0.0411622276029056,0.509165413503193,0.0799532646525145
"helptch_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.00119904076738609,0.999352121801101,0.00238379022646007,0.500275581284244,0.00668373139023411
"alrisk_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.052434456928839,0.998388915740293,0.0984759671746776,0.525411686334566,0.188425273342755
"schdrg_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.266171792152704,0.990436933223413,0.400958466453674,0.628304362688059,0.426538698859123
"likeskl_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0,1,NA,0.5,0
"Truant1_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.152762730227519,0.993097781429745,0.25497287522604,0.572930255828632,0.309308604610425
"somatic_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.289522058823529,0.965377470021956,0.391791044776119,0.627449764422743,0.35220089240695
"dadscore2_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.520958083832335,0.957881095091528,0.568627450980392,0.739419589461932,0.51900406178919
"nothin2_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0.21072319201995,0.982761398421137,0.313543599257885,0.596742295220544,0.316676321162789
"withfrev2_D","Random Forest","Parameter tuned + Class weights + Threshold tuned",0,1,NA,0.5,0
"welloff_D","Neural Networks","Base",0,1,NA,0.5,0
"helptch_D","Neural Networks","Base",0,1,NA,0.5,0
