"Model","Variable","Dependent","ImportanceScaled","ImportanceRaw"
"Random Forest","density","welloff",2.43649899870919,0.000121859814207286
"Random Forest","simd","welloff",3.24920433903297,0.000160539067112719
"Random Forest","sex","welloff",10.3791056542492,0.000499873931151084
"Random Forest","classyr","welloff",15.7836847486265,0.000757095178836686
"Random Forest","whnlvskl","welloff",11.8550949277553,0.000570120993109486
"Random Forest","smfriend","welloff",23.6882216834283,0.00113329743570844
"Random Forest","homesmk","welloff",4.8220299245502,0.000235394879643887
"Random Forest","carsmk","welloff",1.95687004802765,9.90327346204982e-05
"Random Forest","ecig","welloff",15.7971728929184,0.000757737122870281
"Random Forest","smcost","welloff",2.51997211882137,0.000125832567631471
"Random Forest","smkmum","welloff",6.12240517965092,0.000297283907398975
"Random Forest","smkdad","welloff",5.54786126489695,0.000269939520348199
"Random Forest","smkbroth","welloff",2.72291564082362,0.00013549130053695
"Random Forest","smksist","welloff",1.85552680976503,9.42094849769637e-05
"Random Forest","smkgf","welloff",3.98117158319431,0.000195375735152982
"Random Forest","smbkfrnd","welloff",8.23017237754918,0.000397599306434992
"Random Forest","smconf","welloff",5.25117289986788,0.000255819169791026
"Random Forest","smsport","welloff",4.87427665386677,0.000237881469009612
"Random Forest","smslim","welloff",6.20881345871097,0.000301396354448425
"Random Forest","smpreg","welloff",6.33734593409116,0.000307513627062643
"Random Forest","smrelax","welloff",10.4569034652599,0.00050357657841851
"Random Forest","smheart","welloff",3.81419647669687,0.000187428854466124
"Random Forest","smlot","welloff",14.3125316744999,0.000687078287112957
"Random Forest","smcold","welloff",4.67801786214764,0.000228540883851411
"Random Forest","smharm","welloff",12.1565864775265,0.000584469942628883
"Random Forest","smcope","welloff",13.0209484599644,0.000625607700758093
"Random Forest","smsmell","welloff",7.64401809493058,0.000369702344751468
"Random Forest","smfun","welloff",14.7169191300459,0.000706324382701078
"Random Forest","smskin","welloff",9.47407566120008,0.000456800652003932
"Random Forest","smwind","welloff",6.53207489178472,0.000316781402514494
"Random Forest","smeasy","welloff",8.00239464291659,0.000386758633725039
"Random Forest","health","welloff",4.07193241656253,0.000199695334217458
"Random Forest","longill","welloff",1.26489343430239,6.60993489037749e-05
"Random Forest","wwopti","welloff",9.80066404932936,0.000472344040528237
"Random Forest","wwintr","welloff",4.80123609710509,0.000234405234724978
"Random Forest","wwenerg","welloff",6.91257579966582,0.000334890660712325
"Random Forest","wwclose","welloff",9.05209161522632,0.000436717078257789
"Random Forest","wwconf","welloff",12.0913485305697,0.000581365059562201
"Random Forest","wwcheer","welloff",12.4386562173344,0.000597894545940404
"Random Forest","carer15","welloff",2.81276842745203,0.000139767682745629
"Random Forest","alevr","welloff",41.5656598295542,0.00198414203712295
"Random Forest","mahome","welloff",6.29439719043824,0.00030546955864658
"Random Forest","stepma","welloff",0.305094413261078,2.04194361097316e-05
"Random Forest","steppa","welloff",0.955981306806367,5.13972302980159e-05
"Random Forest","grandma","welloff",0.170520569082038,1.40146353840669e-05
"Random Forest","grandpa","welloff",0.772445921972694,4.26621928682762e-05
"Random Forest","fostpa","welloff",0.557386046622255,3.24268038585567e-05
"Random Forest","bruv","welloff",0.924948496568674,4.99202793589808e-05
"Random Forest","sister","welloff",0.577310991735618,3.3375095881419e-05
"Random Forest","ahome","welloff",1.02238360291813,5.45575284742099e-05
"Random Forest","difhome","welloff",0.106862116302397,1.09849255095738e-05
"Random Forest","talkma","welloff",10.6897563526739,0.000514658793921681
"Random Forest","talkpa","welloff",9.90907840475034,0.000477503827309306
"Random Forest","talkoth","welloff",3.15432493196505,0.000156023451920581
"Random Forest","owncash","welloff",5.64104376864846,0.000274374374470765
"Random Forest","npsoff","welloff",4.03838722643115,0.000198098811063894
"Random Forest","othdrgoff","welloff",4.4972738041638,0.000219938694616225
"Random Forest","dgtake","welloff",5.78117222069093,0.000281043536794268
"Random Forest","helptch","welloff",2.99414388722366,0.000148399922416345
"Random Forest","helppar","welloff",4.01589449749649,0.000197028309975947
"Random Forest","helpfri","welloff",1.34032177456554,6.96892254611419e-05
"Random Forest","helpdsv","welloff",0.227170691603455,1.67107963509145e-05
"Random Forest","helpksw","welloff",0.113334101563012,1.12929480391117e-05
"Random Forest","helpkst","welloff",0.405656843782976,2.52055246093985e-05
"Random Forest","helptfw","welloff",0.077626068407414,9.5934882513482e-06
