"Target","Model","Version","Sensitivity","Specificity","F1_Score","Balanced_Accuracy"
"welloff_DUMMY","Random Forest","Base",0,1,NA,0.5
"helptch_DUMMY","Random Forest","Base",0.00102774922918808,1,0.00205338809034908,0.500513874614594
"alrisk_DUMMY","Random Forest","Base",0.00106951871657754,0.99972383319525,0.00213219616204691,0.500396675955914
"dadscore2_DUMMY","Random Forest","Base",0.323076923076923,0.985559566787004,0.4519368723099,0.654318244931963
"welloff_DUMMY","Random Forest","Parameter Tuned",0,1,NA,0.5
"helptch_DUMMY","Random Forest","Parameter Tuned",0.00205549845837616,1,0.0041025641025641,0.501027749229188
"alrisk_DUMMY","Random Forest","Parameter Tuned",0.00962566844919786,0.999585749792875,0.0190073917634636,0.504605709121036
"dadscore2_DUMMY","Random Forest","Parameter Tuned",0.401025641025641,0.980560955290197,0.51925630810093,0.690793298157919
"welloff_DUMMY","Random Forest","Parameter Tuned + Class Weights",0.00217391304347826,0.999448732083793,0.00431965442764579,0.500811322563635
"helptch_DUMMY","Random Forest","Parameter Tuned + Class Weights",0.0164439876670093,0.998056635202665,0.0319042871385842,0.507250311434837
"alrisk_DUMMY","Random Forest","Parameter Tuned + Class Weights",0.0866310160427807,0.994614747307374,0.153554502369668,0.540622881675077
"dadscore2_DUMMY","Random Forest","Parameter Tuned + Class Weights",0.45025641025641,0.977367397945015,0.556753329105897,0.713811904100713
"welloff_DUMMY","Neural Networks","Parameter Tuned",0.183695652173913,0.938257993384785,0.219908913467794,0.560976822779349
"helptch_DUMMY","Neural Networks","Parameter Tuned",0.221993833504625,0.940727373681288,0.267326732673267,0.581360603592957
"alrisk_DUMMY","Neural Networks","Parameter Tuned",0.303743315508021,0.948771057718862,0.357232704402516,0.626257186613442
"dadscore2_DUMMY","Neural Networks","Parameter Tuned",0.41948717948718,0.945015273535129,0.459550561797753,0.682251226511154
"welloff_DUMMY","Neural Networks","Parameter Tuned + Class Weights",0.595652173913043,0.714581036383682,0.309692003390788,0.655116605148363
"helptch_DUMMY","Neural Networks","Parameter Tuned + Class Weights",0.547790339157246,0.745141588006663,0.318970676241771,0.646465963581954
"alrisk_DUMMY","Neural Networks","Parameter Tuned + Class Weights",0.606417112299465,0.730185031759183,0.328125,0.668301072029324
"dadscore2_DUMMY","Neural Networks","Parameter Tuned + Class Weights",0.695384615384615,0.856151069147459,0.504276682781703,0.775767842266037
"welloff_DUMMY","XGBoost Regression","Base",0.154347826086957,0.981670341786108,0.23765690376569,0.568009083936532
"helptch_DUMMY","XGBoost Regression","Base",0.265159301130524,0.975569128262077,0.366737739872068,0.6203642146963
"alrisk_DUMMY","XGBoost Regression","Base",0.305882352941176,0.982739574703121,0.424962852897474,0.644310963822149
"dadscore2_DUMMY","XGBoost Regression","Base",0.443076923076923,0.971952235490142,0.536979490366687,0.707514579283532
"welloff_DUMMY","Adaptive Boosting","Base",0.160869565217391,0.982635060639471,0.247906197654941,0.571752312928431
"helptch_DUMMY","Adaptive Boosting","Base",0.161356628982528,0.980288728484175,0.24685534591195,0.570822678733352
"alrisk_DUMMY","Adaptive Boosting","Base",0.264171122994652,0.984948909141121,0.382649109217661,0.624560016067887
"dadscore2_DUMMY","Adaptive Boosting","Base",0.430769230769231,0.973479589003055,0.529634300126103,0.702124409886143
"welloff_DUMMY","Adaptive Boosting","Threshold Tuned",0.609782608695652,0.73180815876516,0.327400058360082,0.670795383730406
"helptch_DUMMY","Adaptive Boosting","Threshold Tuned",0.651593011305241,0.738756246529706,0.363427916308398,0.695174628917474
"alrisk_DUMMY","Adaptive Boosting","Threshold Tuned",0.73048128342246,0.721485777409555,0.375790921595598,0.725983530416008
"dadscore2_DUMMY","Adaptive Boosting","Threshold Tuned",0.721025641025641,0.799777839489031,0.450641025641026,0.760401740257336
